Job Number,Borough Name,Count Permits,First Permit Date,Current Date,Age,Permit Expiration Date,Sidewalk Shed/Linear Feet,Construction Material,Current Job Status,BIN Number,Community Board,Latitude Point,Longitude Point,House Number,Street Name,Borough Digit,Block,Lot,Applicant Business Name,ProCert,Source,activity,Commercial
120351662,Manhattan,0,5/13/2010,5/2/2025,5467,4/22/2026,56,STEEL,R,1050240,108,40.78184,-73.94844,1772,2 AVENUE,1,01555,00004,CS BRIDGE CORP,1,BIS,Construction or Maintenance,Commercial District/Overlay
120470409,Manhattan,0,9/16/2010,5/2/2025,5341,6/17/2025,65,STEEL/WOOD,R,1017833,105,40.7359,-73.98799,116,EAST 17 STREET,1,00872,00068,ROCKLEDGE SCAFFOLD CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
120486633,Manhattan,0,9/29/2010,5/2/2025,5328,9/20/2025,100,WOOD AND STEEL,R,1079685,103,40.72631,-73.97949,605,EAST    9 STREET,1,00392,00010,ROCKLEDGE SCAFFOLD CORP,1,BIS,Construction or Maintenance,Other Zoning Districts
120725705,Manhattan,0,6/16/2011,5/2/2025,5068,3/11/2026,314,WOOD & STEEL,R,1026319,104,40.75827,-73.99532,443,WEST 40 STREET,1,01050,00006,BS GROUP INC,1,BIS,Construction or Maintenance,Commercial District/Overlay
120987236,Manhattan,0,3/1/2012,5/2/2025,4809,6/18/2025,77,WOOD & STEEL,R,1083575,104,40.74551,-74.00375,444,WEST   21 STREET,1,00718,00001,ARSENAL SCAFFOLD INC,1,BIS,Construction or Maintenance,Other Zoning Districts
121045127,Manhattan,0,4/23/2012,5/2/2025,4756,1/27/2026,339,WOOD/STEEL,R,1079043,101,40.70866,-74.00798,41,MAIDEN LANE,1,00067,00001,CS BRIDGE CORP,1,BIS,Local Law 11,Commercial District/Overlay
121844941,Manhattan,0,12/5/2013,5/2/2025,4165,3/13/2026,313,WOOD & STEEL,R,1030972,107,40.78019,-73.98652,344,WEST 72 STREET,1,01183,00053,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Local Law 11,Other Zoning Districts
122106078,Manhattan,0,8/19/2014,5/2/2025,3908,11/22/2025,42,WOOD / STEEL,R,1055054,110,40.80244,-73.95143,130,WEST 116 STREET,1,01825,00050,PLATINUM SERVICES NY LLC,1,BIS,Construction or Maintenance,Commercial District/Overlay
122199236,Manhattan,0,12/9/2014,5/2/2025,3796,3/18/2026,200,WOOD & STEEL,R,1016745,105,40.74189,-73.9858,352,PARK AVENUE SOUTH,1,00855,00016,ROCKLEDGE SCAFFOLD CORP,1,BIS,Local Law 11,Commercial District/Overlay
122212131,Manhattan,0,12/16/2014,5/2/2025,3789,3/13/2026,90,WOOD & STEEL,R,1030971,107,40.78022,-73.9862,340,WEST 72 STREET,1,01183,00050,S&E BRIDGE & SCAFFOLD LLC,1,BIS,Local Law 11,Other Zoning Districts
